date,인구
2000년 1월,61229
2000년 2월,56305
2000년 3월,59448
2000년 4월,52672
2000년 5월,52058
2000년 6월,46338
2000년 7월,47992
2000년 8월,50163
2000년 9월,52430
2000년 10월,53882
2000년 11월,51886
2000년 12월,50098
2001년 1월,56549
2001년 2월,49594
2001년 3월,54169
2001년 4월,47950
2001년 5월,46377
2001년 6월,41440
2001년 7월,42005
2001년 8월,43407
2001년 9월,45216
2001년 10월,44383
2001년 11월,42261
2001년 12월,41544
2002년 1월,48474
2002년 2월,43264
2002년 3월,47435
2002년 4월,43061
2002년 5월,41569
2002년 6월,37210
2002년 7월,39923
2002년 8월,39330
2002년 9월,39199
2002년 10월,39058
2002년 11월,37475
2002년 12월,36113
2003년 1월,45107
2003년 2월,41632
2003년 3월,45693
2003년 4월,42755
2003년 5월,40796
2003년 6월,36553
2003년 7월,37626
2003년 8월,37697
2003년 9월,41241
2003년 10월,42861
2003년 11월,40280
2003년 12월,38302
2004년 1월,45512
2004년 2월,40763
2004년 3월,45130
2004년 4월,40279
2004년 5월,38604
2004년 6월,35762
2004년 7월,37680
2004년 8월,37965
2004년 9월,38886
2004년 10월,40459
2004년 11월,37016
2004년 12월,34705
2005년 1월,41096
2005년 2월,35590
2005년 3월,40772
2005년 4월,36340
2005년 5월,35672
2005년 6월,33442
2005년 7월,34362
2005년 8월,35677
2005년 9월,37085
2005년 10월,36946
2005년 11월,35391
2005년 12월,32658
2006년 1월,40429
2006년 2월,37308
2006년 3월,40977
2006년 4월,37408
2006년 5월,37474
2006년 6월,35037
2006년 7월,34876
2006년 8월,37159
2006년 9월,38151
2006년 10월,38209
2006년 11월,36707
2006년 12월,34418
2007년 1월,43490
2007년 2월,39264
2007년 3월,43325
2007년 4월,40048
2007년 5월,39653
2007년 6월,36854
2007년 7월,39228
2007년 8월,43726
2007년 9월,44520
2007년 10월,45322
2007년 11월,41451
2007년 12월,36308
2008년 1월,46747
2008년 2월,39495
2008년 3월,41318
2008년 4월,38783
2008년 5월,37598
2008년 6월,35035
2008년 7월,38042
2008년 8월,37787
2008년 9월,40037
2008년 10월,39886
2008년 11월,36473
2008년 12월,34691
2009년 1월,44149
2009년 2월,36681
2009년 3월,39834
2009년 4월,37539
2009년 5월,35864
2009년 6월,34122
2009년 7월,35779
2009년 8월,36169
2009년 9월,38187
2009년 10월,37737
2009년 11월,35172
2009년 12월,33616
2010년 1월,42936
2010년 2월,36639
2010년 3월,40975
2010년 4월,38336
2010년 5월,37005
2010년 6월,36028
2010년 7월,37106
2010년 8월,38392
2010년 9월,42294
2010년 10월,43625
2010년 11월,41318
2010년 12월,35517
2011년 1월,47577
2011년 2월,38160
2011년 3월,43260
2011년 4월,40376
2011년 5월,38958
2011년 6월,36766
2011년 7월,38168
2011년 8월,39360
2011년 9월,38963
2011년 10월,38359
2011년 11월,37328
2011년 12월,33990
2012년 1월,44984
2012년 2월,40609
2012년 3월,43209
2012년 4월,40094
2012년 5월,39388
2012년 6월,38170
2012년 7월,40127
2012년 8월,41455
2012년 9월,41735
2012년 10월,41889
2012년 11월,38579
2012년 12월,34311
2013년 1월,44247
2013년 2월,36645
2013년 3월,38540
2013년 4월,36738
2013년 5월,35626
2013년 6월,33154
2013년 7월,36188
2013년 8월,36400
2013년 9월,37063
2013년 10월,36055
2013년 11월,33827
2013년 12월,31972
2014년 1월,41229
2014년 2월,36754
2014년 3월,38021
2014년 4월,37183
2014년 5월,35749
2014년 6월,34171
2014년 7월,36390
2014년 8월,36539
2014년 9월,37879
2014년 10월,36450
2014년 11월,32379
2014년 12월,32691
2015년 1월,41914
2015년 2월,35709
2015년 3월,40329
2015년 4월,38072
2015년 5월,36534
2015년 6월,35520
2015년 7월,36612
2015년 8월,35207
2015년 9월,36444
2015년 10월,36702
2015년 11월,33467
2015년 12월,31910
2016년 1월,39405
2016년 2월,34830
2016년 3월,38131
2016년 4월,35147
2016년 5월,34341
2016년 6월,32849
2016년 7월,33920
2016년 8월,33897
2016년 9월,34375
2016년 10월,31592
2016년 11월,30366
2016년 12월,27390
2017년 1월,35100
2017년 2월,30600
2017년 3월,33200
2017년 4월,30400
2017년 5월,30300
2017년 6월,28900
2017년 7월,29400
2017년 8월,30200
